STATE,ST,TIMEZONE,TZ
Alba,01,Eastern European Time,EET
Arad,02,Eastern European Time,EET
Argeş,03,Eastern European Time,EET
Bacău,04,Eastern European Time,EET
Bihor,05,Eastern European Time,EET
Bistriţa-năsăud,06,Eastern European Time,EET
Botoşani,07,Eastern European Time,EET
Brăila,08,Eastern European Time,EET
Braşov,09,Eastern European Time,EET
Bucureşti,10,Eastern European Time,EET
Buzău,11,Eastern European Time,EET
Caraş-severin,12,Eastern European Time,EET
Cluj,13,Eastern European Time,EET
Constanţa,14,Eastern European Time,EET
Covasna,15,Eastern European Time,EET
Dâmboviţa,16,Eastern European Time,EET
Dolj,17,Eastern European Time,EET
Galaţi,18,Eastern European Time,EET
Gorj,19,Eastern European Time,EET
Harghita,20,Eastern European Time,EET
Hunedoara,21,Eastern European Time,EET
Ialomiţa,22,Eastern European Time,EET
Iaşi,23,Eastern European Time,EET
Maramureş,25,Eastern European Time,EET
Mehedinţi,26,Eastern European Time,EET
Mureş,27,Eastern European Time,EET
Neamţ,28,Eastern European Time,EET
Olt,29,Eastern European Time,EET
Prahova,30,Eastern European Time,EET
Sălaj,31,Eastern European Time,EET
Satu Mare,32,Eastern European Time,EET
Sibiu,33,Eastern European Time,EET
Suceava,34,Eastern European Time,EET
Teleorman,35,Eastern European Time,EET
Timiş,36,Eastern European Time,EET
Tulcea,37,Eastern European Time,EET
Vaslui,38,Eastern European Time,EET
Vâlcea,39,Eastern European Time,EET
Vrancea,40,Eastern European Time,EET
Călăraşi,41,Eastern European Time,EET
Giurgiu,42,Eastern European Time,EET
Ilfov,43,Eastern European Time,EET
