Postal code area,Name of the postal code area,Name of the postal code area (sv),Municipality,Name of the municipality,Statistical Grouping of municipality,Name of the statistical grouping of municipality,Sub-regional unit,Name of the sub-regional unit,Region,Name of the region,Major region,Name of the major region,Regional state administrative agency,Name of the regional state administrative agency,Centre for economic development, transport and the environment,Name of the centre for economic development, transport and the environment,Hospital District,Name of the hospital district
00100,Helsinki Keskusta - Etu-Töölö,Helsingfors centrum - Främre Tölö,091,Helsinki,1,Urban municipalities,011,Helsinki,01,Uusimaa,1,Helsinki-Uusimaa,1,Southern Finland AVI,01,Uusimaa ELY Centre,25,Helsinki and Uusimaa Hospital District
00120,Punavuori,Rödbergen,091,Helsinki,1,Urban municipalities,011,Helsinki,01,Uusimaa,1,Helsinki-Uusimaa,1,Southern Finland AVI,01,Uusimaa ELY Centre,25,Helsinki and Uusimaa Hospital District
00130,Kaartinkaupunki,Gardesstaden,091,Helsinki,1,Urban municipalities,011,Helsinki,01,Uusimaa,1,Helsinki-Uusimaa,1,Southern Finland AVI,01,Uusimaa ELY Centre,25,Helsinki and Uusimaa Hospital District
00140,Kaivopuisto - Ullanlinna,Brunnsparken - Ulrikasborg,091,Helsinki,1,Urban municipalities,011,Helsinki,01,Uusimaa,1,Helsinki-Uusimaa,1,Southern Finland AVI,01,Uusimaa ELY Centre,25,Helsinki and Uusimaa Hospital District
00150,Eira - Hernesaari,Eira - Ärtholmen,091,Helsinki,1,Urban municipalities,011,Helsinki,01,Uusimaa,1,Helsinki-Uusimaa,1,Southern Finland AVI,01,Uusimaa ELY Centre,25,Helsinki and Uusimaa Hospital District
00160,Katajanokka,Skatudden,091,Helsinki,1,Urban municipalities,011,Helsinki,01,Uusimaa,1,Helsinki-Uusimaa,1,Southern Finland AVI,01,Uusimaa ELY Centre,25,Helsinki and Uusimaa Hospital District
00170,Kruununhaka,Kronohagen,091,Helsinki,1,Urban municipalities,011,Helsinki,01,Uusimaa,1,Helsinki-Uusimaa,1,Southern Finland AVI,01,Uusimaa ELY Centre,25,Helsinki and Uusimaa Hospital District
00180,Kamppi - Ruoholahti,Kampen - Gräsviken,091,Helsinki,1,Urban municipalities,011,Helsinki,01,Uusimaa,1,Helsinki-Uusimaa,1,Southern Finland AVI,01,Uusimaa ELY Centre,25,Helsinki and Uusimaa Hospital District
00190,Suomenlinna,Sveaborg,091,Helsinki,1,Urban municipalities,011,Helsinki,01,Uusimaa,1,Helsinki-Uusimaa,1,Southern Finland AVI,01,Uusimaa ELY Centre,25,Helsinki and Uusimaa Hospital District
00200,Lauttasaari,Drumsö,091,Helsinki,1,Urban municipalities,011,Helsinki,01,Uusimaa,1,Helsinki-Uusimaa,1,Southern Finland AVI,01,Uusimaa ELY Centre,25,Helsinki and Uusimaa Hospital District
00210,Vattuniemi,Hallonnäs,091,Helsinki,1,Urban municipalities,011,Helsinki,01,Uusimaa,1,Helsinki-Uusimaa,1,Southern Finland AVI,01,Uusimaa ELY Centre,25,Helsinki and Uusimaa Hospital District
00220,Jätkäsaari,Busholmen,091,Helsinki,1,Urban municipalities,011,Helsinki,01,Uusimaa,1,Helsinki-Uusimaa,1,Southern Finland AVI,01,Uusimaa ELY Centre,25,Helsinki and Uusimaa Hospital District
00230,Ilmala,Ilmala,091,Helsinki,1,Urban municipalities,011,Helsinki,01,Uusimaa,1,Helsinki-Uusimaa,1,Southern Finland AVI,01,Uusimaa ELY Centre,25,Helsinki and Uusimaa Hospital District
00240,Länsi-Pasila,Västra Böle,091,Helsinki,1,Urban municipalities,011,Helsinki,01,Uusimaa,1,Helsinki-Uusimaa,1,Southern Finland AVI,01,Uusimaa ELY Centre,25,Helsinki and Uusimaa Hospital District
