_,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,0,Auckland City Hospital,"2 Park Road, Grafton",Auckland,Auckland,1023,Auckland District Health Board,,Public Hospital,,,,-36.88153967,174.7728861
1,1,Auckland DHB X 3 Units - Mental Health,"2 Park Road, Grafton",Auckland,Auckland,1023,Auckland District Health Board,,Public Hospital,,,,-36.88153967,174.7728861
2,2,Buchanan Rehabilitation Centre,"27 Sutherland Road, Point Chevalier",Auckland,Auckland,1025,Auckland District Health Board,,Public Hospital,,,,-36.88711477,174.7267409
3,3,Greenlane Clinical Centre,"214 Green Lane West, Epsom",Auckland,Auckland,1051,Auckland District Health Board,,Public Hospital,,,,-36.89643036,174.8031089
4,4,Tauranga Hospital,"829 Cameron Road, Tauranga South",Tauranga,Bay of Plenty,3112,Bay of Plenty District Health Board,,Public Hospital,,,,-37.71760499,176.1528163
5,5,Whakatane Hospital,"33 Stewart Street, nan",Whakatane,Bay of Plenty,3120,Bay of Plenty District Health Board,,Public Hospital,,,,-37.95705089,176.9819797
6,6,Ashburton Hospital,"34 Elizabeth Street, Allenton",Ashburton,Canterbury,7700,Canterbury District Health Board,,Public Hospital,,,,-43.903911,171.7448079
7,7,Burwood Hospital,"255 Mairehau Road, Burwood",Christchurch,Canterbury,8083,Canterbury District Health Board,,Public Hospital,,,,-43.4824653,172.6990809
8,8,Chatham Island Health Centre,"6 Hospital Road, Chatham Island",Chatham Island,Canterbury,8013,Canterbury District Health Board,,Public Hospital,,,,-43.51523307,172.6476141
9,9,Christchurch Hospital,"2 Riccarton Avenue, Christchurch Central",Christchurch,Canterbury,8011,Canterbury District Health Board,,Public Hospital,,,,-43.53538866,172.6377702
10,10,Darfield Hospital,"31 Mathias Street, nan",Darfield,Canterbury,7510,Canterbury District Health Board,,Public Hospital,,,,-43.49014675,172.1080896
11,11,Ellesmere Hospital,"25 Cunningham Street, nan",Leeston,Canterbury,7632,Canterbury District Health Board,,Public Hospital,,,,-43.76236702,172.2960337
12,12,Hillmorton Hospital,"1 Lincoln Road, Spreydon",Christchurch,Canterbury,8024,Canterbury District Health Board,,Public Hospital,,,,-43.55691754,172.6180451
13,13,Kaikoura Hospital,"25 Deal Street, nan",Kaikoura,Canterbury,7300,Canterbury District Health Board,,Public Hospital,,,,-42.40768777,173.6837102
14,14,Lincoln Maternity Hospital,"35 James Street, nan",Lincoln,Canterbury,7608,Canterbury District Health Board,,Public Hospital,,,,-43.63802068,172.4875567
15,15,Oxford Hospital,"37 Park Avenue, nan",Oxford,Canterbury,7430,Canterbury District Health Board,,Public Hospital,,,,-43.29494354,172.1943309
16,16,Rangiora Hospital,"161 Ashley Street, nan",Rangiora,Canterbury,7400,Canterbury District Health Board,,Public Hospital,,,,-43.30563,172.5945965
17,17,The Princess Margaret Hospital,"97 Cashmere Road, Cashmere",Christchurch,Canterbury,8022,Canterbury District Health Board,,Public Hospital,,,,-43.57280683,172.6389574
18,18,Tuarangi Home,"270 Cameron Street, nan",Ashburton,Canterbury,7700,Canterbury District Health Board,,Public Hospital,,,,-43.903911,171.7448079
19,19,Waikari Hospital,"16 Littles Drive, nan",Waikari,Canterbury,7420,Canterbury District Health Board,,Public Hospital,,,,-42.96929597,172.7012689
