STATE,ST,TIMEZONE,TZ
Andalucia,AN,Central European Time,CET
Aragon,AR,Central European Time,CET
Asturias,AS,Central European Time,CET
Cantabria,CB,Central European Time,CET
Ceuta,CE,Central European Time,CET
Castilla - Leon,CL,Central European Time,CET
Castilla - La Mancha,CM,Central European Time,CET
Canarias,CN,Central European Time,CET
Cataluna,CT,Central European Time,CET
Extremadura,EX,Central European Time,CET
Galicia,GA,Central European Time,CET
Baleares,IB,Central European Time,CET
Murcia,MC,Central European Time,CET
Madrid,MD,Central European Time,CET
Melilla,ML,Central European Time,CET
Navarra,NC,Central European Time,CET
Pais Vasco,PV,Central European Time,CET
La Rioja,RI,Central European Time,CET
Comunidad Valenciana,VC,Central European Time,CET
